Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
Which of the following is a characteristic of BOTH a fibroma and a giant cell fibroma?,May present as a sessile mass,Association with chronic irritation,Predilection for the mandibular gingiva,Predilection for middle age or older,Soft Tissue,,,,,
BOTH epulis fissuratum and inflammatory papillary hyperplasia are characterized by which of the following?,Histologic features that may include pseudoepitheliomatous hyperplasia,Poor denture hygiene,Located in the anterior palate,An association with medications,Soft Tissue,,,,,
Fibromatosis should be treated with a wide local excision to reduce recurrences.,TRUE,FALSE,,,Soft Tissue,,,,,
Which of the following is a characteristic of myofibromatosis?,Categorized as a spindle cell neoplasm,Essentially the same as fibromatosis,A predilection for the extremities,A predilection for the elderly,Soft Tissue,,,,,
Which of the following is a characteristic of pyogenic granulomas?,Association with pregnancy,Association with a pus inducing bacteria,Association with menopause,Unlimited growth potential,Soft Tissue,,,,,
"Pyogenic granulomas, peripheral ossifying fibromas, and peripheral giant cell granulomas are all",Treated by excision down to the bone or periosteum,Microscopically similar,Neoplastic,Commonly found of the tongue ,Soft Tissue,,,,,
The peripheral giant cell granuloma is ,Located only on the gingiva and alveolar ridge,Found on the skin,Associated with hyperparathyroidism,A lobular capillary hemangioma,Soft Tissue,,,,,
The peripheral ossifying fibroma is ,Located only on the gingiva ,Essentially the same as the central ossifying fibroma,Associated with hyperparathyroidism,A lobular capillary hemangioma,Soft Tissue,,,,,
Lipomas are treated with ,Conservative excision,Diet and exercise ,Radiation,Chemotherapy,Soft Tissue,,,,,
Traumatic neuromas are almost always,Associated with nerve damage or injury,Painful,Recurrent after treatment,Neoplastic,Soft Tissue,,,,,
Palisaded encapsulated neuromas (solitary circumscribed neuromas) are ,Most common in the head and neck region,Always characterized by a complete and thick capsule,Always show distinct palisaded pattern,Associated with multiple endocrine neoplasia type 2B,Soft Tissue,,,,,
"Palisaded encapsulated neuromas (solitary circumscribed neuromas), neurilemoma, and neurofibromas are all",S-100 positive,Neoplastic,Associated with a syndrome,Pre-cancerous lesions,Soft Tissue,,,,,
Kaposi’s sarcoma is directly attributed to the human immunodeficiency virus. ,FALSE,TRUE,,,Soft Tissue,,,,,
Which of the following lesions does NOT typically consist of granulation tissue?,Irritation fibroma,Pyogenic granuloma,Epulis granulomatosum,Giant cell reparative granuloma,Soft Tissue,,,,,
"A mucosal-colored nodular mass of buccal mucosa, lateral tongue, or gingiva most likely represents",Irritation fibroma,Pyogenic granuloma,Lipoma,Choristoma,Soft Tissue,,,,,
The retrocuspid papillae (bilateral popular lesions on the mandibular lingual gingiva) have the histologic appearance of ,Giant cell fibroma,Peripheral giant cell granuloma,Peripheral ossifying fibroma,Neurifying ossifoma,Soft Tissue,,,,,
Cobblestone or pebbly erythematous lesions of the hard palate are noted in a long-term denture wearer. Your clinical impression is ,Inflammatory papillary hyperplasia,Nicotine stomatitis,Epulis fissuratum,Fibrous histiocytoma,Soft Tissue,,,,,
"Reddish-blue or blue-purple nodular masses, more common in females, that cause “cupping” resorption of the bone beneath affected gingiva, are most likely ",Peripheral giant cell granuloma,Peripheral ossifying fibroma,Pyogenic granuloma,Gingival fibrous nodules,Soft Tissue,,,,,
"A slow-growing, encapsulated tumor arising in association with a nerve trunk is noted to have Antoni A and Antoni B microscopic patterns. The tumor is a",Neurilemoma,Neuroma,Neurofibroma,Palisaded encapsulated neuroma,Soft Tissue,,,,,
A pigmented mass of the anterior maxilla is noted in a 6-month old. Your clinical suspicion is ,Melanotic neuroectodermal tumor,Melanoma,Melanotic macule,Melasma,Soft Tissue,,,,,
"A hamartomatous vascular proliferation that follows the distribution of the trigeminal nerve, giving rise to a facial “port-wine stain” is ",Sturge-Weber angiomatosis,Rendu-Osler-Weber syndrome,Osgood-Schlatter disease,Congenital epulis ,Soft Tissue,,,,,
This oral malignancy is found more often in the scalp and forehead than in the oral cavity. Most common in the elderly. Prognosis is poor. ,Angiosarcoma,Kaposi’s Sarcoma,Neurofibrosarcoma,Malignant Fibrous Histiocytoma,Soft Tissue,,,,,
The most common soft tissue sarcoma in older adults is,Malignant fibrous histiocytoma,Liposarcoma,Neurofibrosarcoma,Olfactory Neuroblastoma,Soft Tissue,,,,,
Lesions of malignant Fibrous Histiocytoma are common in the head and neck., FALSE,TRUE,,,Soft Tissue,,,,,
Which soft tissue tumor presents histologically with fascicles in a storiform pattern?,Malignant fibrous Histiocytoma,Liposarcoma,Neurofibrosarcoma,Olfactory Neuroblastoma,Soft Tissue,,,,,
Hemangiomas are most common in ,White infants,Black infants,Asian infants,Mexican infants ,Soft Tissue,,,,,
Hemangiomas are at an increased risk of occurrence n mothers who have had,Chorionic villi sampling,Amniocentesis,Alpha feto-protein testing,Maternal screening serum test,Soft Tissue,,,,,
The least aggressive form of liposarcoma is ,Well-differentiated,Myxoid,Round cell,Pleomorphic,Soft Tissue,,,,,
Soft tissue tumors are derived from mesenchymal derived proliferations. ,TRUE,FALSE,,,Soft Tissue,,,,,
"Most common intraoral soft tissue mass, due to trauma (biting). ",Irritation fibroma,Pyogenic granuloma,Fibromatosis,Fibrous Histiocytoma,Soft Tissue,,,,,
"A painless nodular mucosal mass noted on the gingiva that histologically shows loose, myxomatous connective tissue is ",Oral focal mucinosis,Myofibroma,Fibrous histiocytoma,Pyogenic granuloma,Soft Tissue,,,,,
Bite trauma to the buccal mucosa can result in a common reactive hyperplasia known as ,Fibroma,Neurofibroma,Lipoma,Osteoma,Soft Tissue,,,,,
"A flattened, pink mass of the palate noted beneath a maxillary denture is a type of fibrous hyperplasia called ",Leaf-like fibroma,Giant cell fibroma,Epulis fissuratum,Denture stomatitis,Soft Tissue,,,,,
"Pink, red pebbly or cobblestone lesions on the hard palate that arise in chronic denture wearers and dentate mouth breathers with high palatal vault describe",Inflammatory papillary hyperplasia,Fibroepithelial polyp,Nodular fasciitis,Chronic sclerosing sialadenitis ,Soft Tissue,,,,,
"An exophytic, lobular, ulcerated mass is noted on the lateral tongue adjacent to carious jagged teeth. Your clinical impression is",Pyogenic granuloma,Aphthous ulcer,Aspirin burn ,Anbesol burn,Soft Tissue,,,,,
A tumor-like growth of normal tissue in an abnormal location describes,Choristoma,Lymphangioma,Chondroma,Hamartoma,Soft Tissue,terminology,,,,
"The most common malignancy of soft tissue, rare in the head and neck, but common in thigh and retroperitoneum is ",Liposarcoma,Fibrosarcoma,Angiosarcoma,Rhabdomyosarcoma ,Soft Tissue,,,,,
"Portwine stain of one side of the face, tram-line skull calcifications, and seizure disorder are features of ",Sturge-Weber angiomatosis,Shingles,Gutters,Angiosarcoma,Soft Tissue,,,,,
Nasal obstruction and epistaxis noted in young males are characteristic of ,Nasopharyngeal angiofibroma,Olfactory neuroblastoma,Nasal glioma,Chemodectoma,Soft Tissue,,,,,
"By definition, a lesion metastatic to bone is classified as",Stage IV ,Stage I,Stage II,Stage III,Soft Tissue,,,,,
The peripheral ossifying fibroma is,Located only on the tooth bearing are of the jaw (gingiva),Essentially the same as the central ossifying fibroma ,Also known as a lobular capillary hemangioma,Associated with hyperparathyroidism,Soft Tissue,,,,,
"Pyogenic granulomas, peripheral ossifying fibromas, and peripheral giant cell granulomas are all ","Treated by excision (down to bone or periosteum, if applicable)",Neoplastic,Microscopically similar,Commonly found on the tongue,Soft Tissue,,,,,
Which statement is NOT true concerning Peripheral Ossifying Fibroma?,Peripheral Ossifying Fibroma are equally distributed among males and females,Peripheral Ossifying Fibroma may be firm when palpated,Peripheral Ossifying Fibroma may be fixed within surrounding tissue,Peripheral Ossifying Fibroma require excision down to periosteum when removed,Soft Tissue,,,,,
The peripheral ossifying fibroma is,Located only on the tooth bearing are of the jaw (gingiva),Essentially the same as the central ossifying fibroma ,Also known as a lobular capillary hemangioma,Associated with hyperparathyroidism,Soft Tissue,,,,,
Which of the following is NOT a characteristic of multiple endocrine neoplasia 2B,Mucosal neurofibromas,Marfanoid features,An increase risk of pheochromocytomas,A very high risk for medullary carcinoma,Soft Tissue,,,,,
"Pyogenic granulomas, peripheral ossifying fibromas, and peripheral giant cell granulomas are all ",Treated by excision down to bone or periosteum,Neoplastic,Microscopically similar,Commonly found on the tongue,Soft Tissue,,,,,
All of the following are true about multiple endocrine neoplasia 2B EXCEPT ,Patients develop adenomas and colon cancer,90% of patient have medullary thyroid carcinoma,Patients have  marfanoid features,Oral mucosal neuromas may present as the first sign of disease,Soft Tissue,,,,,
"Which of the following lesions have a tendency to develop in pregnancy and may regress after parturition? (Therefore, excision of this lesion is deferred until after delivery).",Pyogenic granuloma,Peripheral ameloblastoma,Peripheral giant cell granuloma,Peripheral ossifying fibroma,Soft Tissue,,,,,
Which of these lesions occurs exclusively on the gingiva or on the edentulous alveolar ridge?,Peripheral ossifying fibroma,Pyogenic granuloma,Lipoma,Rhabdomyoma,Soft Tissue,,,,,
Granular cell tumors are positive for S-100 indicating   ,Neural origin,Epithelial origin,Muscle cell origin,Vascular origin,Soft Tissue,,,,,
"What is similar histopathologically to the giant cell fibroma, presenting as small raised lesion on attached gingiva lingual to mandibular canines, and has a high prevalence in children?",Retrocuspid papilla, Peripheral fibroma,Peripheral ossifying fibroma, Epulis fissuratum,Soft Tissue,,,,,
All of the following are true in regard to Inflammatory Papillary Hyperplasia (IPH) except,IPH should never be treated with excision,IPH can be caused by an ill fitting denture,Candida organisms have been a suggested cause of IPH,"In advanced cases, the hyperplasia can be pseudoepithelimatous ",Soft Tissue,,,,,
Which of the following is the most common “tumor” of the oral cavity?,Irritation fibroma,Lipoma,Hemangiona,Peripheral ossifying fibroma,Soft Tissue,,,,,
Bilateral neurilemomas (schwannomas) of the auditory-vestibular nerve are a characteristic feature of the hereditary condition ,NF 2,NF 1,MEN2A,MEN2B,Soft Tissue,,,,,
All of the following are true about multiple endocrine neoplasia 2B EXCEPT ,Patients develop adenomas and colon cancer,90% of patient have medullary thyroid carcinoma,Patients have  marfanoid features,Oral mucosal neuromas may present as the first sign of disease,Soft Tissue,,,,,
Which of the following statements is true of a fibroma?,Treated by conservative surgical excision,Only seen on the buccal mucosa,Considered to be neoplastic,Histologically composed of multinucleated giant cells in a vascular stroma,Soft Tissue,,,,,
Traumatic neuromas are almost always,Associated with nerve damage or injury,Painful,Neoplastic,Recurrent after treatment,Soft Tissue,,,,,
Neurofibromatosis is uniquely characterized by,Plexiform neurofibromas,Iris hamartomas,Café au lait macules,Freckling in the “armpit” area,Soft Tissue,,,,,
"All of the following are most commonly seen in younger patients, usually before the age of 20, EXCEPT ",Epulis Fissuratum,Melanotic Neuroectodermal Tumor of Infancy,Ameloblastic Fibro-odontoma,Odontoma,Soft Tissue,,,,,
Which of these lesions occurs exclusively on the gingiva or on the edentulous alveolar ridge?,Peripheral giant cell granuloma,Pyogenic granuloma,Lipoma,Rhabdomyoma,Soft Tissue,,,,,
"A benign neural neoplasm that is composed of Antoni A& B patterns, Verocay bodies, and when bilateral lesions of the vestibular nerve exist associated with neurofibromatosis II?",Schwannoma (neurilemoma),Traumatic neuroma,Neurofibroma,Granular cell tumor,Soft Tissue,,,,,
All of the following are true about multiple endocrine neoplasia 2B EXCEPT ,Patients develop adenomas and colon cancer,90% of patient have medullary thyroid carcinoma,Patients have  marfanoid features,Oral mucosal neuromas may present as the first sign of disease,Soft Tissue,,,,,
A granular cell tumor has a predilection for the ,Dorsal tongue,Gingiva,Buccal mucosa,Orbit,Soft Tissue,,,,,
What is a distinctive histologic feature associated with giant cell fibromas (relative to traumatic fibromas)?,Stellate shaped fibroblasts ,Blunted rete pegs,Hyperkeratosis of the epithelium ,Avascular fibrous connective tissue   ,Soft Tissue,,,,,
"Which of the following lesions have a tendency to develop in pregnancy and may regress after parturition? (Therefore, excision of this lesion is deferred until after delivery).",Pyogenic granuloma,Peripheral ameloblastoma,Peripheral giant cell granuloma,Peripheral ossifying fibroma,Soft Tissue,,,,,
